episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,53,1,14.24242,0.0,0.996643,2,1,1,1,0,5,14,3,1.340019,2,1,6.17001,0.095017,0.851562,0.084372,0.44659,0.599079,161.064,2.958,1.308233
2,53,2,-2.340265,0.0,0.996643,5,1,1,1,0,0,74,1,0.31947,0,1,-0.340265,,,,,,,,
3,53,3,-2.406841,0.0,0.996643,5,1,1,1,0,0,82,3,1.186318,0,3,-0.906841,,,,,,,,
4,53,4,-2.298669,0.0,0.996643,5,1,1,1,0,0,7,1,0.402662,0,1,-0.298669,,,,,,,,
5,53,5,-2.45,0.0,0.996643,2,0,1,1,1,0,7,0,0.0,0,0,-1.2,,,,,,,,
6,53,6,-2.2,0.0,0.996643,1,0,1,1,1,0,3,0,0.0,0,0,-1.2,,,,,,,,
7,53,7,25.777201,0.0,0.996643,1,1,1,1,0,8,15,13,5.824405,5,8,13.912202,,,,,,,,
8,53,8,27.550365,0.0,0.996643,5,1,1,1,0,0,27,14,6.60073,8,6,24.300365,,,,,,,,
9,53,9,-0.555898,0.0,0.996643,5,1,1,1,0,0,0,1,0.388203,0,1,-0.305898,,,,,,,,
10,53,10,-0.31512,0.0,0.996643,5,1,1,1,0,0,0,1,0.86976,0,1,-0.06512,,,,,,,,
11,53,11,-3.7,0.0,0.996643,5,0,1,1,1,0,14,0,0.0,0,0,-1.2,,,,,,,,
12,53,12,-0.225794,0.0,0.996643,1,1,1,1,0,0,0,1,0.448413,0,1,-0.275794,,,,,,,,
13,53,13,-1.95,0.0,0.996643,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
14,53,14,-6.95,0.0,0.996643,3,0,1,1,1,0,42,0,0.0,0,0,-1.2,,,,,,,,
15,53,15,1.068648,0.0,0.996643,5,1,1,1,0,0,17,1,0.637297,1,0,3.318648,,,,,,,,
16,53,16,-0.845344,0.0,0.996643,1,1,1,1,0,0,0,2,0.809312,0,2,-0.595344,,,,,,,,
17,125,17,-3.334648,0.0,0.992083,5,1,1,1,0,0,24,1,0.330703,0,1,-0.334648,,,,,,,,
18,125,18,-2.95,0.0,0.992083,5,0,1,1,1,0,79,0,0.0,0,0,-1.2,,,,,,,,
19,125,19,2.527319,0.0,0.992083,1,1,1,1,0,0,3,2,1.054638,1,1,3.027319,,,,,,,,
20,125,20,-3.45,0.0,0.992083,2,0,1,1,1,0,3,0,0.0,0,0,-1.2,,,,,,,,
21,125,21,-3.95,0.0,0.992083,4,0,1,1,1,0,2,0,0.0,0,0,-1.2,,,,,,,,
22,125,22,-2.95,0.0,0.992083,5,0,1,1,1,0,1,0,0.0,0,0,-1.2,,,,,,,,
23,125,23,-3.2,0.0,0.992083,5,0,1,1,1,0,18,0,0.0,0,0,-1.2,,,,,,,,
24,125,24,-4.479471,0.0,0.992083,5,1,1,1,0,0,5,6,3.541058,0,7,-1.729471,,,,,,,,
25,125,25,-0.462407,0.0,0.992083,5,1,1,1,0,0,0,1,0.575185,0,1,-0.212407,,,,,,,,
26,125,26,-0.307898,0.0,0.992083,5,1,1,1,0,0,16,1,0.384205,1,0,3.192102,,,,,,,,
27,125,27,-3.2,0.0,0.992083,5,0,1,1,1,0,6,0,0.0,0,0,-1.2,,,,,,,,
28,125,28,-3.2,0.0,0.992083,5,0,1,1,1,0,3,0,0.0,0,0,-1.2,,,,,,,,
29,125,29,-3.2,0.0,0.992083,5,0,1,1,1,0,3,0,0.0,0,0,-1.2,,,,,,,,
30,125,30,-3.2,0.0,0.992083,5,0,1,1,1,0,17,0,0.0,0,0,-1.2,,,,,,,,
31,125,31,-1.95,0.0,0.992083,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
