episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,53,1,4.823493,0.0,0.996643,2,1,1,1,0,0,0,3,1.340019,2,1,6.17001,0.0,0.867188,-0.01084,0.44659,0.599079,161.064,2.958,1.308233
2,53,2,-7.56288,0.0,0.996643,5,1,1,1,0,0,0,1,0.31947,0,1,-0.340265,,,,,,,,
3,53,3,-7.27631,0.0,0.996643,5,1,1,1,0,0,0,3,1.186318,0,3,-0.906841,,,,,,,,
4,53,4,-8.608891,0.0,0.996643,5,1,1,1,0,0,0,1,0.402662,0,1,-0.298669,,,,,,,,
5,53,5,-6.690104,0.0,0.996643,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
6,53,6,-5.981836,0.0,0.996643,1,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
7,53,7,13.33767,0.0,0.996643,1,1,1,1,0,0,0,13,5.824405,5,8,13.912202,,,,,,,,
8,53,8,14.862158,0.0,0.996643,5,1,1,1,0,0,0,14,6.60073,8,6,24.300365,,,,,,,,
9,53,9,-6.46501,0.0,0.996643,5,1,1,1,0,0,0,1,0.388203,0,1,-0.305898,,,,,,,,
10,53,10,-7.867524,0.0,0.996643,5,1,1,1,0,0,0,1,0.86976,0,1,-0.06512,,,,,,,,
11,53,11,-6.12334,0.0,0.996643,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
12,53,12,-0.261048,0.0,0.996643,1,1,1,1,0,0,0,1,0.448413,0,1,-0.275794,,,,,,,,
13,53,13,-2.376373,0.0,0.996643,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
14,53,14,-2.567915,0.0,0.996643,3,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
15,53,15,-1.987723,0.0,0.996643,5,1,1,1,0,0,0,1,0.637297,1,0,3.318648,,,,,,,,
16,53,16,-5.265215,0.0,0.996643,1,1,1,1,0,0,0,2,0.809312,0,2,-0.595344,,,,,,,,
17,126,17,-2.284715,0.0,0.99202,5,1,1,1,0,0,0,2,0.984091,1,1,2.992046,,,,,,,,
18,126,18,-8.753604,0.0,0.99202,5,1,1,1,0,0,0,1,0.330703,0,1,-0.334648,,,,,,,,
19,126,19,-9.221371,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
20,126,20,-2.260986,0.0,0.99202,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
21,126,21,-7.244513,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
22,126,22,-6.314486,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
23,126,23,-8.073091,0.0,0.99202,5,1,1,1,0,0,0,2,1.246532,0,2,-0.376734,,,,,,,,
24,126,24,-6.178785,0.0,0.99202,1,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
25,126,25,-3.075992,0.0,0.99202,5,1,1,1,0,0,0,6,3.033995,2,3,6.016997,,,,,,,,
26,126,26,-6.10798,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
27,126,27,-8.926375,0.0,0.99202,5,1,1,1,0,0,0,1,0.454909,0,1,-0.272545,,,,,,,,
28,126,28,-9.585411,0.0,0.99202,5,1,1,1,0,0,0,2,0.95879,0,2,-0.520605,,,,,,,,
29,126,29,-6.089595,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
30,126,30,-5.468663,0.0,0.99202,5,1,1,1,0,0,0,1,0.491306,0,1,-0.254347,,,,,,,,
31,126,31,-10.550154,0.0,0.99202,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
32,126,32,-9.711655,0.0,0.99202,5,1,1,1,0,0,0,1,0.420033,0,1,-0.289984,,,,,,,,
33,184,33,-3.13532,0.0,0.988347,1,1,1,1,0,0,0,5,2.689126,0,7,-2.155437,,,,,,,,
34,184,34,-8.030588,0.0,0.988347,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
35,184,35,-2.376557,0.0,0.988347,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
36,184,36,-5.82232,0.0,0.988347,5,1,1,1,0,0,0,1,0.34446,0,1,-0.32777,,,,,,,,
37,184,37,-5.978967,0.0,0.988347,1,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
38,184,38,-10.143596,0.0,0.988347,5,1,1,1,0,0,0,3,1.524514,0,3,-0.737743,,,,,,,,
39,184,39,-4.065039,0.0,0.988347,4,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
40,184,40,-6.023438,0.0,0.988347,2,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
41,184,41,-6.420786,0.0,0.988347,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
42,184,42,-6.03956,0.0,0.988347,3,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
43,184,43,-2.741803,0.0,0.988347,5,1,1,1,0,0,0,4,2.10556,2,2,6.05278,,,,,,,,
44,184,44,-8.102295,0.0,0.988347,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
45,184,45,-0.582214,0.0,0.988347,1,1,1,1,0,0,0,1,0.382265,0,1,-0.308868,,,,,,,,
46,184,46,-7.516556,0.0,0.988347,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
47,184,47,-9.389083,0.0,0.988347,5,1,1,1,0,0,0,2,1.663159,0,2,-0.16842,,,,,,,,
48,184,48,-2.331494,0.0,0.988347,4,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
49,256,49,-2.037019,0.0,0.983787,4,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
50,256,50,-7.756914,0.0,0.983787,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
51,256,51,-5.45223,0.0,0.983787,5,1,1,1,0,0,0,1,0.301891,0,1,-0.349055,,,,,,,,
52,256,52,-3.953416,0.0,0.983787,4,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
53,256,53,-3.476744,0.0,0.983787,3,1,1,1,0,0,0,2,1.166824,-1,2,-0.416588,,,,,,,,
