episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,61,1,6.092887,0.0,0.996137,2,1,1,1,0,2,12,1,0.338856,1,0,3.169428,0.077432,2.484375,0.046377,0.3936,0.394689,15.502,3.0,0.793113
2,61,2,-6.595042,0.0,0.996137,5,0,1,1,1,0,61,0,0.0,0,0,-1.2,,,,,,,,
3,61,3,7.272107,0.0,0.996137,5,1,1,1,0,6,75,4,2.093375,1,4,-1.953312,,,,,,,,
4,61,4,-8.602639,0.0,0.996137,5,1,1,1,0,0,8,1,0.698765,0,2,-2.650618,,,,,,,,
5,61,5,-6.0294,0.0,0.996137,2,0,1,1,1,0,8,0,0.0,0,0,-1.2,,,,,,,,
6,61,6,-6.168042,0.0,0.996137,5,1,1,1,0,0,4,1,0.318346,0,1,-1.340827,,,,,,,,
7,61,7,11.695671,0.0,0.996137,1,1,1,1,0,8,18,7,3.229053,2,5,0.114527,,,,,,,,
8,61,8,-9.62108,0.0,0.996137,5,0,1,1,1,0,20,0,0.0,0,2,-4.2,,,,,,,,
9,61,9,-6.149796,0.0,0.996137,5,1,1,1,0,0,0,1,0.773048,0,1,-1.113476,,,,,,,,
10,61,10,-3.648099,0.0,0.996137,3,0,1,1,1,0,0,0,0.0,0,1,-2.7,,,,,,,,
11,61,11,-2.2794,0.0,0.996137,2,0,1,1,1,0,12,0,0.0,0,0,-1.2,,,,,,,,
12,61,12,-1.390268,0.0,0.996137,1,1,1,1,0,0,0,1,0.625562,0,1,-1.187219,,,,,,,,
13,61,13,-10.533698,0.0,0.996137,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
14,61,14,2.287618,0.0,0.996137,5,1,1,1,0,0,30,9,3.790963,6,8,7.895482,,,,,,,,
15,61,15,-6.897444,0.0,0.996137,5,0,1,1,1,0,15,0,0.0,0,0,-1.2,,,,,,,,
16,61,16,-6.27131,0.0,0.996137,5,0,1,1,1,0,0,0,0.0,0,0,-1.2,,,,,,,,
17,136,17,-21.876766,0.0,0.991387,5,1,1,1,0,0,4,14,7.704918,0,14,-17.147541,,,,,,,,
18,136,18,-5.706231,0.0,0.991387,5,1,1,1,0,0,7,1,0.398519,0,1,-1.30074,,,,,,,,
19,136,19,-6.966623,0.0,0.991387,5,1,1,1,0,0,18,3,1.684643,1,4,-2.157679,,,,,,,,
20,136,20,-4.39984,0.0,0.991387,5,1,1,1,0,0,1,3,1.557073,1,2,0.778536,,,,,,,,
21,136,21,3.046689,0.0,0.991387,5,1,1,1,0,0,17,8,4.58928,5,6,8.29464,,,,,,,,
22,136,22,-6.170786,0.0,0.991387,5,0,1,1,1,0,5,0,0.0,0,0,-1.2,,,,,,,,
23,136,23,-2.107304,0.0,0.991387,4,0,1,1,1,1,15,0,0.0,0,0,-1.2,,,,,,,,
24,136,24,-6.512614,0.0,0.991387,5,1,1,1,0,0,4,1,0.446489,0,1,-1.276755,,,,,,,,
25,136,25,-7.696413,0.0,0.991387,5,1,1,1,0,0,7,6,2.470982,1,5,-3.264509,,,,,,,,
26,136,26,-5.751428,0.0,0.991387,5,1,1,1,0,0,6,1,0.647879,0,1,-1.176061,,,,,,,,
27,136,27,-3.202905,0.0,0.991387,5,0,1,1,1,0,8,0,0.0,0,0,-1.2,,,,,,,,
28,136,28,-6.101543,0.0,0.991387,5,0,1,1,1,0,33,0,0.0,0,0,-1.2,,,,,,,,
29,136,29,-6.834649,0.0,0.991387,1,1,1,1,0,1,18,2,0.701968,1,8,-8.649016,,,,,,,,
30,136,30,-9.703991,0.0,0.991387,5,1,1,1,0,0,2,4,1.599317,0,4,-5.200342,,,,,,,,
31,136,31,-10.984401,0.0,0.991387,5,1,1,1,0,0,4,5,2.181148,0,5,-6.409426,,,,,,,,
32,136,32,-6.370987,0.0,0.991387,5,0,1,1,1,0,1,0,0.0,0,0,-1.2,,,,,,,,
33,196,33,-6.016152,0.0,0.987587,5,1,1,1,0,0,5,1,0.497489,0,1,-1.251255,,,,,,,,
