episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,15,1,-2.697933,0.0,0.99905,3,1,1,1,0,0,1,3,1.482332,0,3,-3.758834,0.253385,0.68,0.247718,0.005212,0.007097,6.746,1.25,-0.062019
2,51,2,8.426112,0.0,0.99677,12,1,1,2,1,2,65,9,4.730987,7,2,20.365493,,,,,,,,
3,79,3,21.768059,0.0,0.994997,22,1,1,4,3,2,39,3,1.439178,0,3,-4.980411,,,,,,,,
4,96,4,-17.083942,0.0,0.99392,30,0,1,6,6,0,0,1,0.310913,0,1,-3.744543,,,,,,,,
5,98,5,-20.16876,0.0,0.993793,31,1,1,5,4,0,20,4,1.869943,1,3,-0.565028,,,,,,,,
18101,512335,18101,106.73604,0.02251,0.05,8,5,6,6,1,22,29,34,16.909703,0,35,-44.045149,,,,,,,,
18102,512389,18102,288.235611,0.01299,0.05,11,5,6,6,1,59,89,45,25.744575,18,28,23.672287,,,,,,,,
18103,512552,18103,30.435328,0.024157,0.05,22,0,6,6,6,0,11,1,0.300209,0,1,-7.349896,,,,,,,,
18104,512601,18104,82.778537,0.025535,0.05,25,3,6,6,3,19,25,22,12.63518,2,25,-24.58241,,,,,,,,
18105,512659,18105,-7.008455,0.023508,0.05,28,0,6,6,6,0,16,0,0.0,0,0,-7.2,,,,,,,,
18106,512682,18106,-17.233931,0.020099,0.05,30,1,6,6,5,0,0,2,0.9243,0,2,-4.93785,,,,,,,,
18107,512699,18107,-13.547714,0.018822,0.05,31,0,6,6,6,0,0,0,0.0,0,0,-4.8,,,,,,,,
18108,512709,18108,22.896443,0.018381,0.05,20,1,6,6,5,6,20,5,3.33987,3,2,2.869935,,,,,,,,
18109,512722,18109,-6.718158,0.022878,0.05,32,0,6,6,6,0,4,0,0.0,0,0,-7.2,,,,,,,,
18110,512724,18110,7.966788,0.02117,0.05,32,0,6,6,6,0,11,1,0.344367,0,1,-4.927817,,,,,,,,
18111,512737,18111,-19.954368,0.024119,0.05,33,2,6,6,4,0,12,6,3.391864,2,4,0.495932,,,,,,,,
18112,512764,18112,-13.271439,0.024985,0.05,35,0,6,6,6,0,1,1,0.420887,0,1,-4.889557,,,,,,,,
18113,512774,18113,-13.404839,0.023032,0.05,35,0,6,6,6,0,7,0,0.0,0,0,-4.8,,,,,,,,
18114,512791,18114,-19.572834,0.018964,0.05,37,0,6,6,6,0,0,0,0.0,0,0,-2.4,,,,,,,,
18115,512877,18115,-26.644577,0.020798,0.05,42,0,6,6,6,0,0,0,0.0,0,0,0.0,,,,,,,,
18116,512878,18116,-26.372121,0.019955,0.05,42,0,6,6,6,0,24,0,0.0,0,0,0.0,,,,,,,,
18117,512880,18117,-25.505972,0.020462,0.05,42,0,6,6,6,0,9,0,0.0,0,0,0.0,,,,,,,,
18118,512892,18118,74.405809,0.024257,0.05,8,4,6,6,2,16,22,17,9.861378,7,9,11.230689,,,,,,,,
18119,512943,18119,-18.395112,0.019224,0.05,38,0,6,6,6,0,7,0,0.0,0,0,-3.6,,,,,,,,
18120,512977,18120,-3.181476,0.023965,0.05,15,1,6,6,5,0,4,5,2.354282,0,5,-8.722859,,,,,,,,
18121,513013,18121,43.82703,0.022854,0.05,19,3,6,6,3,10,19,19,10.201072,3,16,-9.899464,,,,,,,,
18122,513078,18122,28.580701,0.023473,0.05,19,2,6,6,4,9,27,9,4.581453,0,9,-13.609274,,,,,,,,
18123,513096,18123,1.242902,0.018854,0.05,34,1,6,6,5,2,18,6,3.282296,1,6,-5.558852,,,,,,,,
18124,513179,18124,7.73957,0.018605,0.05,30,1,6,6,5,4,23,5,2.25291,0,5,-6.373545,,,,,,,,
18125,513204,18125,11.780362,0.021118,0.05,30,3,6,6,3,1,16,6,4.332551,6,0,18.966275,,,,,,,,
18126,513230,18126,-11.006959,0.018759,0.05,22,1,6,6,5,0,3,3,1.675043,0,3,-6.062478,,,,,,,,
18127,513235,18127,-7.995625,0.019236,0.05,36,0,6,6,6,0,38,0,0.0,0,0,-7.2,,,,,,,,
18128,513241,18128,-19.357235,0.022185,0.05,40,0,6,6,6,0,4,0,0.0,0,0,-2.4,,,,,,,,
18129,513242,18129,-15.585945,0.022529,0.05,35,1,6,6,5,0,2,4,2.705407,0,4,-7.047297,,,,,,,,
18130,513255,18130,17.412001,0.022543,0.05,29,2,6,6,4,5,16,7,3.244337,0,7,-8.877832,,,,,,,,
18131,513260,18131,0.457652,0.020834,0.05,23,2,6,6,4,2,8,4,2.688407,2,2,0.744203,,,,,,,,
18132,513280,18132,49.818849,0.020498,0.05,25,1,6,6,5,9,24,11,7.076967,0,11,-12.961516,,,,,,,,
18133,513301,18133,77.667288,0.023009,0.05,18,2,6,6,4,13,29,9,4.159573,0,9,-12.620213,,,,,,,,
18134,513394,18134,-25.484035,0.021877,0.05,42,0,6,6,6,0,5,0,0.0,0,0,0.0,,,,,,,,
18135,513409,18135,-3.536266,0.019291,0.05,27,1,6,6,5,1,2,5,2.40654,1,4,-7.79673,,,,,,,,
18136,513421,18136,-12.786403,0.019949,0.05,34,0,6,6,6,0,0,0,0.0,0,0,-4.8,,,,,,,,
18137,513432,18137,-9.675303,0.024294,0.05,21,1,6,6,5,0,0,2,1.634021,1,3,-5.482989,,,,,,,,
18138,513481,18138,18.783157,0.016484,0.05,15,3,6,6,3,5,31,11,7.045593,0,12,-18.077203,,,,,,,,
18139,513488,18139,515.694095,0.018529,0.05,13,6,6,6,0,106,181,83,44.701618,21,67,-15.149191,,,,,,,,
18140,513500,18140,99.085402,0.020371,0.05,15,4,6,6,2,22,25,24,13.255123,1,23,-26.072439,,,,,,,,
18141,513515,18141,-9.148915,0.024053,0.05,21,0,6,6,6,0,3,0,0.0,0,0,-6.0,,,,,,,,
18142,513540,18142,25.368876,0.020592,0.05,21,2,6,6,4,5,53,9,5.887195,0,9,-10.556403,,,,,,,,
18143,513571,18143,60.383768,0.018301,0.05,21,2,6,6,4,8,24,13,7.610036,7,6,13.405018,,,,,,,,
18144,513615,18144,-22.721099,0.021375,0.05,42,0,6,6,6,0,13,0,0.0,0,0,-1.2,,,,,,,,
18145,513646,18145,-4.359637,0.019907,0.05,26,0,6,6,6,0,2,3,1.219894,1,2,-1.790053,,,,,,,,
18146,513653,18146,4.315385,0.02127,0.05,22,0,6,6,6,0,10,1,0.341282,0,1,-7.329359,,,,,,,,
18147,513658,18147,-9.391154,0.022335,0.05,26,0,6,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
18148,513702,18148,-6.557452,0.023737,0.05,39,0,6,6,6,0,10,0,0.0,0,0,-3.6,,,,,,,,
18149,513788,18149,-5.641995,0.022244,0.05,18,0,6,6,6,0,0,0,0.0,0,0,-7.2,,,,,,,,
18150,513799,18150,-15.983638,0.021524,0.05,34,0,6,6,6,0,1,0,0.0,0,0,-3.6,,,,,,,,
18151,513809,18151,-12.199568,0.019235,0.05,25,0,6,6,6,0,10,0,0.0,0,0,-4.8,,,,,,,,
18152,513824,18152,-9.360988,0.022616,0.05,21,0,6,6,6,0,6,0,0.0,0,0,-4.8,,,,,,,,
18153,513826,18153,1.264108,0.021033,0.05,27,1,6,6,5,0,8,2,1.278752,0,2,-8.360624,,,,,,,,
18154,513876,18154,8.956881,0.02007,0.05,21,2,6,6,4,3,6,7,4.15565,3,4,1.477825,,,,,,,,
18155,513896,18155,-8.749023,0.019435,0.05,29,0,6,6,6,0,21,0,0.0,0,0,-3.6,,,,,,,,
18156,513903,18156,-5.843657,0.026655,0.05,18,0,6,6,6,0,0,0,0.0,0,0,-7.2,,,,,,,,
18157,513965,18157,11.770705,0.022778,0.05,34,3,6,6,3,4,10,13,6.651435,9,4,21.925718,,,,,,,,
18158,513979,18158,-6.822838,0.023502,0.05,29,0,6,6,6,0,0,1,0.40791,0,1,-7.296045,,,,,,,,
18159,514022,18159,13.137522,0.021622,0.05,20,4,6,6,2,5,17,27,16.311294,6,23,-8.344353,,,,,,,,
18160,514057,18160,-13.997443,0.02125,0.05,36,1,6,6,5,1,5,8,4.629786,7,1,20.614893,,,,,,,,
18161,514062,18161,24.651706,0.019984,0.05,26,0,6,6,6,0,15,0,0.0,0,0,-7.2,,,,,,,,
18162,514114,18162,74.608522,0.019581,0.05,18,2,6,6,4,17,87,22,11.350552,3,19,-16.224724,,,,,,,,
18163,514239,18163,-10.404166,0.018969,0.05,21,1,6,6,5,0,73,7,2.755195,0,7,-10.322403,,,,,,,,
18164,514243,18164,-19.577603,0.019634,0.05,42,1,6,6,5,0,0,1,0.882499,0,1,-3.45875,,,,,,,,
18165,514252,18165,-7.3859,0.021755,0.05,29,0,6,6,6,0,0,1,0.66222,0,1,-7.16889,,,,,,,,
18166,514314,18166,-22.344779,0.021563,0.05,41,0,6,6,6,0,18,0,0.0,0,0,-1.2,,,,,,,,
18167,514324,18167,54.030516,0.022008,0.05,28,1,6,6,5,12,17,7,3.877252,3,4,-1.061374,,,,,,,,
18168,514325,18168,-25.526081,0.020691,0.05,42,1,6,6,5,0,5,7,4.067235,7,0,23.033617,,,,,,,,
18169,514343,18169,-7.960092,0.018034,0.05,34,0,6,6,6,0,2,1,0.325542,0,1,-4.937229,,,,,,,,
18170,514350,18170,507.651402,0.020708,0.05,18,2,6,6,4,55,117,17,8.414452,17,0,51.607226,,,,,,,,
18171,514401,18171,-8.104971,0.022706,0.05,37,2,6,6,4,1,6,6,3.819667,0,6,-8.290166,,,,,,,,
18172,514427,18172,38.912364,0.022502,0.05,28,2,6,6,4,5,12,12,6.691057,2,10,-8.054471,,,,,,,,
18173,514477,18173,-10.741778,0.021427,0.05,32,0,6,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
18174,514496,18174,-25.634041,0.022476,0.05,42,0,6,6,6,0,20,0,0.0,0,0,0.0,,,,,,,,
18175,514536,18175,-24.790554,0.022615,0.05,40,1,6,6,5,0,34,7,3.424052,0,8,-10.287974,,,,,,,,
