episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,8,1,-2.357105,0.0,0.999493,1,1,1,1,0,0,43,1,0.857894,0,1,-1.071053,0.109348,0.757812,0.103033,0.017031,0.013306,14.536,1.228,-0.118604
2,20,2,-2.972873,0.0,0.998733,2,1,1,1,0,0,8,3,2.085835,0,4,-4.957083,,,,,,,,
3,147,3,115.397082,0.0,0.99069,10,1,1,2,1,25,78,14,5.941902,2,12,-9.029049,,,,,,,,
4,152,4,25.124179,0.0,0.990373,9,1,1,2,1,0,22,6,2.224503,1,6,-4.887748,,,,,,,,
5,335,5,-2.508661,0.0,0.978783,21,1,1,3,2,2,23,5,2.47492,0,5,-6.26254,,,,,,,,
6,375,6,5.077957,0.0,0.97625,24,0,1,6,6,0,23,1,0.548649,0,1,-3.625675,,,,,,,,
7,377,7,-14.015906,0.0,0.976123,24,1,1,4,3,0,0,2,1.158181,0,2,-3.620909,,,,,,,,
8,432,8,-13.372403,0.0,0.97264,27,0,1,6,6,0,0,0,0.0,0,0,-4.8,,,,,,,,
9,450,9,-5.146323,0.0,0.9715,29,1,1,5,4,2,99,8,3.749518,6,2,16.874759,,,,,,,,
10,452,10,-9.840675,0.0,0.971373,27,0,1,6,6,0,0,2,1.279264,1,1,-1.460368,,,,,,,,
11,490,11,-17.198122,0.0,0.968967,31,0,1,6,6,0,0,2,0.776199,0,3,-6.5119,,,,,,,,
12,492,12,-21.71018,0.0,0.96884,31,0,1,6,6,0,0,1,0.549271,0,2,-3.925365,,,,,,,,
13,510,13,27.037984,0.0,0.9677,32,0,1,6,6,0,60,1,0.424763,1,0,2.012381,,,,,,,,
14,544,14,-4.93007,0.0,0.965547,7,1,1,1,0,0,9,15,8.78727,0,15,-18.106365,,,,,,,,
15,565,15,-22.323906,0.0,0.964217,36,0,1,6,6,0,4,0,0.0,0,0,-1.2,,,,,,,,
16,573,16,-15.7779,0.0,0.96371,36,0,1,6,6,0,0,1,0.31942,0,1,-3.74029,,,,,,,,
17,582,17,-4.522947,0.0,0.96314,37,0,1,6,6,0,7,0,0.0,0,0,-2.4,,,,,,,,
18,609,18,-11.563035,0.0,0.96143,39,1,1,6,5,2,11,4,2.125198,0,4,-6.137401,,,,,,,,
19,635,19,-22.286516,0.0,0.959783,40,0,1,6,6,0,20,0,0.0,0,0,-1.2,,,,,,,,
20,655,20,-10.128863,0.0,0.958517,20,1,1,5,4,0,5,2,1.808151,0,2,-5.695924,,,,,,,,
21,674,21,28.394663,0.0,0.957313,14,1,1,2,1,7,48,8,3.877476,0,8,-10.061262,,,,,,,,
22,745,22,-11.613305,0.0,0.952817,23,1,1,4,3,0,0,4,2.714792,1,3,-2.542604,,,,,,,,
23,755,23,-22.297999,0.0,0.952183,38,0,1,6,6,0,54,0,0.0,0,0,-1.2,,,,,,,,
24,758,24,3.797916,0.0,0.951993,11,1,1,2,1,2,46,3,1.954063,0,5,-6.522968,,,,,,,,
25,787,25,-3.376608,0.0,0.950157,2,1,1,2,1,0,2,2,0.867844,0,2,-3.766078,,,,,,,,
26,791,26,17.061191,0.0,0.949903,26,1,1,4,3,6,26,10,6.09632,4,6,6.04816,,,,,,,,
27,792,27,7.592727,0.0,0.94984,40,1,1,6,5,5,68,2,0.918611,0,2,-3.740694,,,,,,,,
28,813,28,-4.823905,0.0,0.94851,15,1,1,3,2,1,20,7,3.396328,0,7,-8.801836,,,,,,,,
29,914,29,106.699484,0.0,0.942113,15,1,1,3,2,24,49,9,4.309222,0,9,-11.345389,,,,,,,,
30,940,30,-14.003828,0.0,0.940467,28,0,1,6,6,0,9,0,0.0,0,0,-4.8,,,,,,,,
31,954,31,-1.576805,0.0,0.93958,29,1,1,5,4,3,13,5,2.112979,2,3,2.55649,,,,,,,,
32,1006,32,-5.076644,0.0,0.936287,31,0,1,6,6,0,15,1,0.321437,0,1,-3.739281,,,,,,,,
33,1018,33,35.492092,0.0,0.935527,4,1,1,1,0,7,23,10,5.605825,3,7,1.302913,,,,,,,,
34,1024,34,-14.053256,0.0,0.935147,30,1,1,5,4,0,12,2,1.030599,2,0,4.115299,,,,,,,,
35,1042,35,-7.273607,0.0,0.934007,8,1,1,2,1,0,14,8,5.020756,2,6,-0.489622,,,,,,,,
36,1076,36,-22.30302,0.498119,0.931853,39,0,1,6,6,0,36,1,0.435701,0,1,-1.282149,,,,,,,,
37,1090,37,39.057178,0.410991,0.930967,3,1,1,1,0,8,22,10,4.803487,0,10,-12.598257,,,,,,,,
38,1166,38,-6.383859,0.406155,0.926153,10,1,1,2,1,0,1,4,2.279446,1,3,-1.560277,,,,,,,,
39,1167,39,-9.067328,0.414005,0.92609,32,1,1,5,4,0,28,4,1.76459,1,3,-0.617705,,,,,,,,
40,1168,40,131.302908,0.501445,0.926027,9,1,1,2,1,21,36,6,3.135429,1,6,-4.432286,,,,,,,,
41,1179,41,-21.257267,0.533226,0.92533,34,0,1,6,6,0,4,0,0.0,0,0,-2.4,,,,,,,,
42,1185,42,-20.612872,0.377816,0.92495,36,1,1,6,5,0,9,2,0.882569,0,2,-3.758716,,,,,,,,
43,1208,43,130.864968,0.414069,0.923493,26,0,1,6,6,0,63,0,0.0,0,0,-4.8,,,,,,,,
44,1221,44,-22.3014,0.462044,0.92267,41,0,1,6,6,0,10,0,0.0,0,0,-2.4,,,,,,,,
45,1222,45,27.643688,0.407756,0.922607,29,0,1,6,6,0,40,0,0.0,0,0,-4.8,,,,,,,,
46,1236,46,27.436317,0.428328,0.92172,10,1,1,3,2,6,15,2,0.962777,0,2,-4.918611,,,,,,,,
47,1241,47,-18.917478,0.490926,0.921403,31,0,1,6,6,0,0,1,0.488946,0,1,-3.655527,,,,,,,,
48,1267,48,-16.750213,0.455785,0.919757,30,0,1,6,6,0,0,1,0.301621,0,1,-3.74919,,,,,,,,
49,1351,49,-2.465633,0.350779,0.914437,35,0,1,6,6,0,11,1,0.511267,0,1,-4.844366,,,,,,,,
50,1361,50,-7.626882,0.278018,0.913803,11,1,1,2,1,0,20,5,3.040024,0,5,-5.979988,,,,,,,,
