episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,7,1,23.000797,0.0,0.999557,1,1,1,1,0,8,20,4,2.068366,4,1,11.534183,0.0,0.0,0.0,0.390681,0.535257,198.716,2.214,-0.812044
2,12,2,2.479237,0.0,0.99924,1,1,1,1,0,0,0,4,2.547334,2,3,2.773667,,,,,,,,
3,36,3,-7.973178,0.0,0.99772,3,1,1,1,0,0,9,1,0.78723,0,5,-7.106385,,,,,,,,
4,51,4,61.998215,0.0,0.99677,4,1,1,1,0,23,88,18,8.182673,12,6,31.091336,,,,,,,,
5,82,5,5.885165,0.0,0.994807,6,1,1,1,0,3,91,3,1.465868,1,2,0.732934,,,,,,,,
6,140,6,1.662863,0.0,0.991133,8,1,1,2,1,1,10,6,3.777008,3,4,4.888504,,,,,,,,
7,152,7,-5.265167,0.0,0.990373,10,1,1,2,1,3,35,6,3.045338,1,5,-4.177331,,,,,,,,
8,154,8,-15.851091,0.0,0.990247,10,1,1,3,2,0,0,4,2.093784,1,4,-1.953108,,,,,,,,
9,156,9,-1.246741,0.0,0.99012,1,1,1,1,0,0,11,1,0.619251,0,1,-1.190375,,,,,,,,
10,181,10,-3.180236,0.0,0.988537,12,1,1,2,1,0,9,1,0.336553,1,0,1.968277,,,,,,,,
11,267,11,-16.848765,0.0,0.98309,17,0,1,4,4,0,15,1,0.70735,0,1,-4.746325,,,,,,,,
12,273,12,-6.258185,0.0,0.98271,18,1,1,3,2,3,16,6,2.789148,2,4,0.194574,,,,,,,,
13,275,13,-7.215395,0.0,0.982583,14,1,1,2,1,0,1,2,1.544195,0,2,-2.227903,,,,,,,,
14,283,14,35.706383,0.0,0.982077,1,1,1,1,0,2,40,17,8.895782,12,5,32.947891,,,,,,,,
15,291,15,2.031578,0.0,0.98157,1,1,1,1,0,0,0,2,1.096095,1,1,2.048048,,,,,,,,
16,298,16,3.885176,0.0,0.981127,9,1,1,3,2,0,10,19,9.052038,10,14,13.526019,,,,,,,,
17,312,17,10.902794,0.0,0.98024,10,1,1,2,1,4,6,5,2.726929,4,2,10.363465,,,,,,,,
18,334,18,13.418561,0.0,0.978847,21,1,1,4,3,10,55,8,3.716682,7,1,17.758341,,,,,,,,
19,361,19,-27.919524,0.0,0.977137,23,0,1,4,4,0,0,1,0.300946,0,2,-6.449527,,,,,,,,
20,369,20,14.637295,0.0,0.97663,6,1,1,2,1,6,27,2,0.949753,5,2,11.274877,,,,,,,,
21,375,21,-16.577652,0.0,0.97625,23,0,1,4,4,0,26,10,5.183359,4,8,2.591679,,,,,,,,
22,413,22,-20.475681,0.0,0.973843,26,0,1,4,4,0,0,1,0.835029,0,1,-4.682485,,,,,,,,
23,422,23,-21.404878,0.0,0.973273,27,0,1,4,4,0,1,7,3.274151,2,7,-5.262924,,,,,,,,
24,423,24,14.151852,0.0,0.97321,3,1,1,1,0,3,15,3,1.721278,3,0,9.860639,,,,,,,,
25,438,25,23.081454,0.0,0.97226,1,1,1,1,0,7,14,4,2.12236,4,0,13.06118,,,,,,,,
26,447,26,-8.424297,0.0,0.97169,28,0,1,4,4,0,19,4,1.832296,4,0,10.216148,,,,,,,,
27,448,27,-42.378446,0.0,0.971627,28,0,1,4,4,0,0,2,1.035463,0,5,-9.382269,,,,,,,,
28,453,28,39.799635,0.0,0.97131,17,1,1,4,3,7,21,19,9.412435,18,1,54.806218,,,,,,,,
29,468,29,-22.099772,0.0,0.97036,27,0,1,4,4,0,7,0,0.0,0,0,-4.8,,,,,,,,
30,492,30,6.429829,0.0,0.96884,21,1,1,3,2,2,34,19,10.102826,9,12,14.051413,,,,,,,,
