episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,8,1,28.823664,0.0,0.999493,1,1,1,1,0,10,35,12,6.178242,7,6,15.089121,0.112623,0.65625,0.107155,0.370972,0.464946,177.792,3.0,-0.734529
2,36,2,-7.056385,0.0,0.99772,3,1,1,1,0,0,9,1,0.78723,0,5,-7.106385,,,,,,,,
3,42,3,-1.266589,0.0,0.99734,3,1,1,1,0,0,0,1,0.366821,0,1,-1.316589,,,,,,,,
4,70,4,0.716479,0.0,0.995567,5,1,1,1,0,0,1,3,1.332958,1,2,0.666479,,,,,,,,
5,90,5,-3.710492,0.0,0.9943,3,1,1,1,0,0,22,3,1.479016,0,3,-3.760492,,,,,,,,
6,145,6,12.078757,0.0,0.990817,10,1,1,2,1,2,16,9,4.536364,5,5,9.768182,,,,,,,,
7,154,7,-2.319756,0.0,0.990247,4,1,1,1,0,0,4,2,1.260488,0,2,-2.369756,,,,,,,,
8,167,8,-11.284408,0.0,0.989423,11,1,1,2,1,0,20,4,2.231185,0,7,-10.584408,,,,,,,,
9,235,9,-3.237949,0.0,0.985117,15,1,1,3,2,0,15,11,4.324102,3,8,-2.037949,,,,,,,,
10,264,10,-4.607236,0.0,0.98328,16,1,1,3,2,0,10,3,1.085527,1,4,-3.657236,,,,,,,,
11,298,11,40.636112,0.0,0.981127,9,1,1,2,1,6,171,13,6.14977,11,2,31.874885,,,,,,,,
12,302,12,24.589835,0.0,0.980873,19,0,1,4,4,0,55,11,4.379669,10,1,27.089835,,,,,,,,
13,322,13,14.992755,0.0,0.979607,21,1,1,3,2,2,91,9,3.514726,6,5,12.257363,,,,,,,,
14,341,14,-7.608094,0.0,0.978403,22,0,1,4,4,0,9,1,0.483812,0,1,-4.858094,,,,,,,,
15,352,15,-8.504178,0.0,0.977707,22,0,1,4,4,0,0,2,0.791645,0,3,-6.504178,,,,,,,,
16,367,16,19.42478,0.0,0.976757,23,1,1,4,3,1,19,10,4.672199,7,3,18.836099,,,,,,,,
17,369,17,-3.130568,0.0,0.97663,14,1,1,2,1,0,3,1,0.538863,0,1,-2.430568,,,,,,,,
18,391,18,-2.639245,0.0,0.975237,14,1,1,2,1,0,0,2,1.121509,0,2,-2.439245,,,,,,,,
19,411,19,-5.630194,0.0,0.97397,11,1,1,2,1,0,0,3,1.533577,0,4,-5.233212,,,,,,,,
20,420,20,-5.251083,0.0,0.9734,24,0,1,4,4,0,7,4,1.797834,1,3,-3.001083,,,,,,,,
21,429,21,-2.015922,0.0,0.97283,27,0,1,4,4,0,0,4,2.668157,2,2,0.734078,,,,,,,,
22,435,22,6.395304,0.0,0.97245,28,0,1,4,4,0,88,12,6.190609,6,8,7.895304,,,,,,,,
23,441,23,-4.321264,0.0,0.97207,28,1,1,4,3,0,0,1,0.300506,1,1,-1.949747,,,,,,,,
24,444,24,-4.444265,0.0,0.97188,28,0,1,4,4,0,0,1,0.81147,1,1,-1.694265,,,,,,,,
