episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,8,1,30.466371,0.0,0.999493,1,1,1,1,0,10,35,14,6.762124,8,7,16.881062,0.089213,0.625,0.084005,0.367138,0.450315,173.096,3.0,-0.713349
2,33,2,0.772985,0.0,0.99791,3,1,1,1,0,2,16,2,0.918766,0,2,-2.540617,,,,,,,,
3,39,3,18.544249,0.0,0.99753,3,1,1,1,0,7,20,6,2.740434,4,3,8.870217,,,,,,,,
4,48,4,-1.772932,0.0,0.99696,3,1,1,1,0,0,0,1,0.540112,0,1,-1.229944,,,,,,,,
5,61,5,-2.67654,0.0,0.996137,4,1,1,1,0,0,0,2,0.907482,0,2,-2.546259,,,,,,,,
6,65,6,7.033281,0.0,0.995883,2,1,1,1,0,2,4,1,0.480396,1,0,3.240198,,,,,,,,
7,104,7,24.081535,0.0,0.993413,6,1,1,2,1,10,26,11,5.493865,6,6,10.546933,,,,,,,,
8,131,8,54.668258,0.0,0.991703,9,1,1,2,1,25,88,17,7.421206,12,8,26.510603,,,,,,,,
9,146,9,8.183299,0.0,0.990753,10,1,1,2,1,2,91,13,6.408024,6,8,9.204012,,,,,,,,
10,148,10,-1.581348,0.0,0.990627,10,1,1,3,2,3,9,2,0.870666,1,2,-0.764667,,,,,,,,
11,176,11,2.7709,0.0,0.988853,8,1,1,2,1,2,6,7,3.779825,3,4,4.889913,,,,,,,,
12,182,12,-10.474303,0.0,0.988473,12,1,1,2,1,0,1,5,2.01716,1,5,-4.69142,,,,,,,,
13,191,13,22.14782,0.0,0.987903,12,1,1,2,1,2,19,9,4.832505,8,1,24.916252,,,,,,,,
14,228,14,3.022435,0.0,0.98556,5,1,1,1,0,1,16,1,0.769039,1,1,1.88452,,,,,,,,
15,257,15,-8.156357,0.0,0.983723,12,1,1,2,1,1,13,2,1.261281,0,2,-2.369359,,,,,,,,
16,324,16,-2.934172,0.0,0.97948,6,1,1,2,1,1,9,1,0.606708,0,1,-2.396646,,,,,,,,
17,325,17,-9.314404,0.0,0.979417,21,1,1,3,2,0,9,3,1.548148,1,2,0.774074,,,,,,,,
18,327,18,-3.048018,0.0,0.97929,18,1,1,3,2,3,18,3,1.446414,1,3,-1.976793,,,,,,,,
19,348,19,-17.968598,0.0,0.97796,22,1,1,4,3,0,0,7,3.343481,2,6,-1.32826,,,,,,,,
20,412,20,-0.9054,0.0,0.973907,4,1,1,1,0,3,45,4,1.787384,0,4,-5.106308,,,,,,,,
21,428,21,-3.982932,0.0,0.972893,1,1,1,1,0,0,7,2,1.158797,0,3,-3.920601,,,,,,,,
22,429,22,-20.881798,0.0,0.97283,23,1,1,4,3,0,4,3,1.12035,0,4,-6.639825,,,,,,,,
23,441,23,-30.022295,0.0,0.97207,28,0,1,4,4,0,0,1,0.370635,0,3,-7.914682,,,,,,,,
24,442,24,-28.044674,0.0,0.972007,28,0,1,4,4,0,0,2,1.444492,0,3,-6.177754,,,,,,,,
25,443,25,-28.215969,0.0,0.971943,28,0,1,4,4,0,15,2,1.509363,1,1,-1.345319,,,,,,,,
26,446,26,-3.744711,0.0,0.971753,28,0,1,4,4,0,55,6,2.91116,6,0,17.05558,,,,,,,,
27,452,27,10.359104,0.0,0.971373,8,1,1,2,1,2,9,4,2.095011,4,0,11.847506,,,,,,,,
28,480,28,-7.89764,0.0,0.9696,19,1,1,3,2,0,5,3,1.942432,2,1,3.071216,,,,,,,,
29,520,29,-25.774641,0.0,0.967067,26,0,1,4,4,0,0,0,0.0,0,2,-7.8,,,,,,,,
30,545,30,-19.769627,0.0,0.965483,18,1,1,4,3,0,0,3,1.523174,0,4,-7.638413,,,,,,,,
31,546,31,-17.588301,0.0,0.96542,25,0,1,4,4,0,42,1,0.53582,0,1,-4.83209,,,,,,,,
32,566,32,0.483774,0.0,0.964153,24,1,1,4,3,0,8,5,2.554328,6,3,14.777164,,,,,,,,
33,579,33,-24.723169,0.0,0.96333,28,0,1,4,4,0,7,0,0.0,0,0,-4.8,,,,,,,,
34,629,34,-19.105047,0.0,0.960163,19,0,1,4,4,0,0,2,0.906764,0,2,-6.146618,,,,,,,,
35,635,35,31.188174,0.0,0.959783,12,1,1,2,1,13,105,10,4.807785,7,4,17.403892,,,,,,,,
36,639,36,-21.425018,0.0,0.95953,28,0,1,4,4,0,0,4,1.922636,3,4,1.561318,,,,,,,,
37,668,37,-8.768186,0.0,0.957693,15,0,1,4,4,0,13,0,0.0,0,0,-4.8,,,,,,,,
38,671,38,1.400955,0.0,0.957503,2,1,1,2,1,1,3,2,0.866319,1,1,0.733159,,,,,,,,
39,685,39,-16.552863,0.0,0.956617,16,1,1,3,2,0,12,2,0.72851,0,2,-5.035745,,,,,,,,
40,689,40,-7.708673,0.0,0.956363,9,1,1,2,1,4,4,7,3.167466,0,7,-8.916267,,,,,,,,
41,695,41,-12.686566,0.0,0.955983,23,1,1,4,3,1,1,11,4.602002,4,9,0.801001,,,,,,,,
42,739,42,10.146659,0.0,0.953197,10,1,1,2,1,1,37,4,2.899523,4,0,13.449762,,,,,,,,
43,769,43,9.331433,0.0,0.951297,5,1,1,1,0,1,42,4,1.938075,3,1,8.469037,,,,,,,,
44,809,44,-12.512547,0.0,0.948763,23,1,1,4,3,0,0,4,2.063574,3,4,1.631787,,,,,,,,
45,820,45,-12.795309,0.0,0.948067,23,0,1,4,4,0,24,0,0.0,0,0,-4.8,,,,,,,,
46,848,46,-29.35201,0.0,0.946293,23,0,1,4,4,0,2,1,0.622384,0,5,-10.788808,,,,,,,,
47,857,47,42.385449,0.0,0.945723,3,1,1,1,0,10,44,9,3.908473,11,4,28.954237,,,,,,,,
48,866,48,-14.736208,0.0,0.945153,20,0,1,4,4,0,8,0,0.0,0,1,-6.3,,,,,,,,
49,874,49,-15.933273,0.0,0.944647,27,0,1,4,4,0,14,5,2.558916,2,3,0.379458,,,,,,,,
50,878,50,-18.834256,0.0,0.944393,27,1,1,4,3,1,12,14,6.9979,5,15,-4.00105,,,,,,,,
51,887,51,-6.195916,0.0,0.943823,12,1,1,2,1,1,11,1,0.328647,0,3,-5.535677,,,,,,,,
52,899,52,38.84318,0.0,0.943063,10,1,1,2,1,9,13,13,7.736358,11,2,33.868179,,,,,,,,
53,920,53,-27.805224,0.0,0.941733,25,0,1,4,4,0,14,3,1.463995,0,5,-9.168003,,,,,,,,
54,921,54,-3.294435,0.0,0.94167,4,1,1,1,0,0,0,1,0.356253,0,2,-2.821874,,,,,,,,
55,928,55,4.279762,0.0,0.941227,5,1,1,1,0,1,2,1,0.669267,1,0,3.334633,,,,,,,,
56,964,56,-10.114752,0.0,0.938947,9,1,1,3,2,0,0,3,1.549756,-1,4,-7.625122,,,,,,,,
57,965,57,-13.703726,0.0,0.938883,21,1,1,3,2,0,6,2,0.877789,0,2,-3.761105,,,,,,,,
58,1014,58,-24.509137,0.0,0.93578,28,0,1,4,4,0,6,11,5.3834,3,9,-4.2083,,,,,,,,
59,1019,59,-17.785396,0.0,0.935463,24,0,1,4,4,0,13,2,1.412511,0,2,-5.893744,,,,,,,,
60,1035,60,-1.575546,0.0,0.93445,1,1,1,1,0,0,0,1,0.30237,0,1,-1.348815,,,,,,,,
61,1053,61,-7.513874,0.817693,0.93331,23,0,1,4,4,0,8,3,1.961535,4,3,4.880767,,,,,,,,
62,1087,62,-26.033598,0.723655,0.931157,26,0,1,4,4,0,1,0,0.0,0,1,-6.3,,,,,,,,
63,1090,63,-0.179896,0.597097,0.930967,14,1,1,2,1,3,5,1,0.375716,1,1,0.487858,,,,,,,,
64,1116,64,-11.735439,0.773998,0.92932,28,0,1,4,4,0,31,12,7.595329,7,8,10.397665,,,,,,,,
65,1139,65,-4.482635,0.504027,0.927863,15,1,1,3,2,4,15,8,3.700859,3,5,2.150429,,,,,,,,
66,1159,66,-16.221999,0.72901,0.926597,17,1,1,4,3,0,0,3,1.374622,0,3,-7.412689,,,,,,,,
67,1162,67,-16.251628,0.747886,0.926407,18,1,1,3,2,0,0,1,0.67898,0,1,-3.56051,,,,,,,,
68,1163,68,14.12381,0.713086,0.926343,8,1,1,2,1,3,66,6,2.750234,5,1,14.875117,,,,,,,,
69,1179,69,8.570647,0.549914,0.92533,1,1,1,1,0,3,3,4,1.51944,2,2,3.75972,,,,,,,,
70,1181,70,-11.613904,0.6489,0.925203,8,1,1,2,1,0,0,4,2.110508,0,5,-6.444746,,,,,,,,
71,1184,71,-6.096094,0.631885,0.925013,16,1,1,3,2,0,2,3,1.181708,2,1,3.890854,,,,,,,,
72,1193,72,-19.007813,0.624097,0.924443,17,1,1,3,2,0,0,1,0.30662,0,3,-6.74669,,,,,,,,
73,1214,73,0.723971,0.753965,0.923113,21,1,1,4,3,0,12,3,2.207716,3,0,7.703858,,,,,,,,
74,1215,74,23.917449,0.771753,0.92305,8,1,1,2,1,3,10,10,5.734702,8,2,23.867351,,,,,,,,
75,1216,75,24.379905,0.4709,0.922987,2,1,1,1,0,6,20,6,2.840388,5,1,14.920194,,,,,,,,
76,1217,76,-25.041181,0.700077,0.922923,28,0,1,4,4,0,0,7,4.092941,3,8,-2.15353,,,,,,,,
77,1218,77,-7.237424,0.613391,0.92286,8,1,1,2,1,0,2,5,2.416082,1,4,-1.791959,,,,,,,,
78,1237,78,-20.909455,0.704394,0.921657,17,0,1,4,4,0,3,2,1.048804,0,3,-7.575598,,,,,,,,
79,1249,79,-1.343735,0.500575,0.920897,2,1,1,1,0,0,0,1,0.797166,0,1,-1.101417,,,,,,,,
80,1275,80,-0.220331,0.543904,0.91925,6,1,1,2,1,0,117,2,0.87966,1,1,0.73983,,,,,,,,
81,1315,81,7.943618,0.535788,0.916717,11,1,1,2,1,2,43,9,6.553213,6,7,10.776606,,,,,,,,
82,1328,82,43.399292,0.509759,0.915893,7,1,1,1,0,5,48,14,8.160791,12,2,37.080396,,,,,,,,
83,1360,83,39.449788,0.452585,0.913867,2,1,1,1,0,11,27,10,5.925676,10,6,23.962838,,,,,,,,
84,1368,84,-8.687313,0.628408,0.91336,28,0,1,4,4,0,51,14,8.22142,6,8,10.11071,,,,,,,,
85,1387,85,-4.814891,0.497263,0.912157,7,1,1,3,2,0,4,1,0.328029,1,1,-0.735986,,,,,,,,
86,1390,86,-4.805765,0.498611,0.911967,11,1,1,2,1,0,12,1,0.484376,1,1,0.542188,,,,,,,,
87,1393,87,-5.98128,0.453343,0.911777,9,1,1,2,1,0,0,3,1.459521,1,2,-0.470239,,,,,,,,
88,1412,88,-23.359973,0.619641,0.910573,28,0,1,4,4,0,5,2,1.303031,1,2,-2.948485,,,,,,,,
89,1414,89,-16.288656,0.560618,0.910447,25,1,1,4,3,0,1,2,1.223111,0,2,-4.788445,,,,,,,,
90,1439,90,65.341912,0.503018,0.908863,14,1,1,3,2,1,25,32,15.078432,26,9,70.839216,,,,,,,,
91,1441,91,1.125596,0.432972,0.908737,3,1,1,1,0,0,12,1,0.341659,1,0,3.170829,,,,,,,,
92,1452,92,-19.147859,0.544154,0.90804,21,1,1,4,3,0,0,3,1.287647,0,4,-7.756176,,,,,,,,
93,1455,93,-2.895438,0.334133,0.90785,1,1,1,1,0,0,2,1,0.637719,0,2,-2.68114,,,,,,,,
94,1461,94,-10.134223,0.437518,0.90747,14,1,1,3,2,0,9,1,0.391463,0,1,-3.704269,,,,,,,,
95,1469,95,-19.942163,0.450623,0.906963,18,1,1,4,3,0,1,11,5.094751,4,13,-7.352625,,,,,,,,
96,1475,96,-0.649642,0.434985,0.906583,10,1,1,2,1,1,7,9,4.312455,3,6,2.156228,,,,,,,,
97,1493,97,-1.23872,0.350186,0.905443,2,1,1,1,0,0,21,1,0.547372,0,1,-1.226314,,,,,,,,
98,1521,98,12.641544,0.379692,0.90367,5,1,1,1,0,1,7,9,5.313461,6,6,11.656731,,,,,,,,
99,1537,99,9.923566,0.264473,0.902657,1,1,1,1,0,3,32,3,1.539395,3,3,5.269698,,,,,,,,
100,1553,100,42.286381,0.331459,0.901643,1,1,1,1,0,19,24,24,11.725949,11,15,16.362975,,,,,,,,
101,1556,101,7.17013,0.35282,0.901453,9,1,1,2,1,4,20,11,4.339857,5,7,6.669929,,,,,,,,
102,1585,102,-3.119336,0.476735,0.899617,2,1,1,1,0,0,1,1,0.322939,0,2,-2.83853,,,,,,,,
103,1586,103,-17.782686,0.444353,0.899553,23,0,1,4,4,0,1,0,0.0,0,0,-4.8,,,,,,,,
104,1591,104,-28.12587,0.459334,0.899237,27,0,1,4,4,0,59,11,5.440557,2,10,-8.679721,,,,,,,,
105,1593,105,-20.688337,0.43735,0.89911,25,0,1,4,4,0,6,0,0.0,0,0,-4.8,,,,,,,,
106,1603,106,10.669821,0.374501,0.898477,8,1,1,2,1,3,6,11,5.324053,6,6,11.662027,,,,,,,,
107,1610,107,-29.397227,0.453009,0.898033,28,0,1,4,4,0,3,1,0.711569,0,1,-4.744216,,,,,,,,
108,1626,108,9.137412,0.584414,0.89702,1,1,1,1,0,2,4,3,1.768754,2,1,5.384377,,,,,,,,
109,1631,109,0.180907,0.344173,0.896703,11,1,1,2,1,1,9,4,1.861789,3,2,5.730895,,,,,,,,
110,1632,110,-14.699397,0.413695,0.89664,17,0,1,4,4,0,1,0,0.0,0,0,-4.8,,,,,,,,
111,1633,111,27.081724,0.419509,0.896577,3,1,1,1,0,5,66,6,3.317041,6,0,19.658521,,,,,,,,
112,1635,112,8.943766,0.3012,0.89645,2,1,1,1,0,1,6,3,1.797744,3,1,8.398872,,,,,,,,
113,1638,113,-9.920686,0.386951,0.89626,14,1,1,3,2,0,1,1,0.302391,0,1,-3.748805,,,,,,,,
114,1639,114,-1.53194,0.308083,0.896197,3,1,1,1,0,0,21,1,0.502096,0,1,-1.248952,,,,,,,,
115,1655,115,-19.600119,0.329715,0.895183,1,1,1,1,0,0,19,16,8.841387,0,16,-19.579307,,,,,,,,
116,1659,116,1.477011,0.369876,0.89493,17,1,1,3,2,4,5,24,11.30416,12,23,7.15208,,,,,,,,
117,1665,117,-1.476245,0.298465,0.89455,2,1,1,1,0,0,1,1,0.373427,0,1,-1.313286,,,,,,,,
118,1671,118,14.015893,0.392089,0.89417,1,1,1,1,0,7,7,1,0.334792,1,0,3.167396,,,,,,,,
119,1674,119,0.485408,0.431581,0.89398,3,1,1,1,0,2,11,2,0.766681,0,2,-2.616659,,,,,,,,
120,1686,120,-4.328422,0.379403,0.89322,3,1,1,1,0,0,0,2,0.841829,0,3,-4.079086,,,,,,,,
121,1692,121,-15.931552,0.415541,0.89284,15,0,1,4,4,0,0,0,0.0,0,2,-7.8,,,,,,,,
122,1710,122,-2.712429,0.360324,0.8917,20,1,1,3,2,4,29,4,1.680704,2,2,1.440352,,,,,,,,
123,1715,123,-0.622792,0.38895,0.891383,5,1,1,1,0,0,11,1,0.711232,1,2,0.355616,,,,,,,,
124,1728,124,5.295415,0.423395,0.89056,6,1,1,1,0,0,5,5,3.201745,3,3,6.100873,,,,,,,,
125,1731,125,3.325845,0.290033,0.89037,1,1,1,1,0,0,31,2,0.619671,2,2,3.309835,,,,,,,,
126,1768,126,13.939747,0.428165,0.888027,25,0,1,4,4,0,28,14,6.192777,13,6,31.896389,,,,,,,,
127,1795,127,-3.513255,0.349133,0.886317,4,1,1,1,0,1,20,4,1.513276,0,4,-5.243362,,,,,,,,
128,1796,128,-12.365376,0.355345,0.886253,15,0,1,4,4,0,7,0,0.0,1,0,-1.8,,,,,,,,
129,1807,129,22.010626,0.43655,0.885557,11,1,1,2,1,5,17,7,3.020085,6,-1,19.510042,,,,,,,,
130,1809,130,-8.391106,0.37937,0.88543,9,1,1,2,1,0,6,3,1.432994,1,4,-2.283503,,,,,,,,
